Nom;prix;imageUrl
Magnet 102 - St-Bernard and puppies;1.70;/images/products/magnet/M102.jpg
Magnet 103 - Les Pacots ski club;1.70;/images/products/magnet/M103.jpg
Magnet 104 - Jungfraujoch relief;1.70;/images/products/magnet/M104.jpg
Magnet 105 - Verbier snow Switzerland;1.70;/images/products/magnet/M105.jpg
Magnet 106 - City view;1.70;/images/products/magnet/M106.jpg
Magnet 107 - Bundeshaus;1.70;/images/products/magnet/M107.jpg
Magnet 108 - Zytglogge;1.70;/images/products/magnet/M108.jpg
Magnet 109 - Zytglogge;1.70;/images/products/magnet/M109.jpg
Magnet 110 - Zytglogge;1.70;/images/products/magnet/M110.jpg
Magnet 111 - Bear and cub tree;1.70;/images/products/magnet/M111.jpg
Magnet 112 - Bern bear MM;1.70;/images/products/magnet/M112.jpg
Magnet 113 - Zytglogge relief MM;1.70;/images/products/magnet/M113.jpg
Magnet 114 - Bern badge MM;1.70;/images/products/magnet/M114.jpg
Magnet 115 - St-Moritz;1.70;/images/products/magnet/M115.jpg
Magnet 116 - Bottle-opener;2.00;/images/products/magnet/M116.jpg
Magnet 116-FIG - Bear figurine FIG;3.00;/images/products/magnet/M116-FIG.jpg
Magnet 117 - Water jet Genève;1.70;/images/products/magnet/M117.jpg
Magnet 117-FIG - Bear figurine FIG;3.00;/images/products/magnet/M117-FIG.jpg
Magnet 118 - City Cathedral relief MM;1.70;/images/products/magnet/M118.jpg
Magnet 119 - Chillon castle MM;1.70;/images/products/magnet/M119.jpg
Magnet 120 - Swiss badge MM;1.70;/images/products/magnet/M120.jpg
Magnet 121 - Valais badge MM;1.70;/images/products/magnet/M121.jpg
Magnet 122 - Flag. cow. edelweis. bell MM;2.00;/images/products/magnet/M122.jpg
Magnet 123 - Matterhorn red letters;1.70;/images/products/magnet/M123.jpg
Magnet 124 - I love Luzern MM;1.70;/images/products/magnet/M124.jpg
Magnet 125 - I love Zermatt MM;1.70;/images/products/magnet/M125.jpg
Magnet 126 - I love Genève water jet MM;1.70;/images/products/magnet/M126.jpg
Magnet 127 - Cuckoo;1.70;/images/products/magnet/M127.jpg
Magnet 128 - bottle-opener I love Swiss MM;2.00;/images/products/magnet/M128.jpg
Magnet 129 - bottle-opener golden cow MM;2.00;/images/products/magnet/M129.jpg
Magnet 131 - bottle-opener swiss token MM;2.00;/images/products/magnet/M131.jpg
Magnet 131 - Switzerland cuckoo clock;1.70;/images/products/magnet/M131C.jpg
Magnet 132 - Locarno panorama lake;1.70;/images/products/magnet/M132.jpg
Magnet 134 - Bottle-opener relief MM;2.00;/images/products/magnet/M134.jpg
Magnet 135 - Zermatt town Matterhorn;1.70;/images/products/magnet/M135.jpg
Magnet 137 - Zermatt city;1.70;/images/products/magnet/M137.jpg
Magnet 138 - Genève badge;1.70;/images/products/magnet/M138.jpg
Magnet 139 - panorama;1.70;/images/products/magnet/M139.jpg
Magnet 140 - Matterhorn 4470 m;1.70;/images/products/magnet/M140.jpg
Magnet 141 - Zermatt Matterhorn;1.70;/images/products/magnet/M141.jpg
Magnet 142 - St-Bernard with barrel;1.70;/images/products/magnet/M142.jpg
Magnet 143 - Gruyères street Moleson;1.70;/images/products/magnet/M143.jpg
Magnet 144 - Rheinfall Switzerland;1.70;/images/products/magnet/M144.jpg
Magnet 145 - Dookie Crans-Montana;1.70;/images/products/magnet/M145.jpg
Magnet 146 - Dookie skiing;1.70;/images/products/magnet/M146.jpg
Magnet 147 - Dookie St-Moritz sign;1.70;/images/products/magnet/M147.jpg
Magnet 148 - Davos Dookie sign;1.70;/images/products/magnet/M148.jpg
Magnet 149 - Dookie Gruyères sign;1.70;/images/products/magnet/M149.jpg
Magnet 150 - St-Bernard thermometer;2.00;/images/products/magnet/M150.jpg
Magnet 152 - Red bell white cross MM;1.70;/images/products/magnet/M152.jpg
Magnet 153 - Leman Lake grapes Lavaux;1.70;/images/products/magnet/M153.jpg
Magnet 155 - Interlaken bilboard Dookie;1.70;/images/products/magnet/M155.jpg
Magnet 156 - Grand St-Bernard cuckoo;1.70;/images/products/magnet/M156.jpg
Magnet 157 - Genève cuckoo;1.70;/images/products/magnet/M157.jpg
Magnet 158 - Zermatt cuckoo;1.70;/images/products/magnet/M158.jpg
Magnet 161Ge - Dookie GE;1.70;/images/products/magnet/M161Ge.jpg
Magnet 161Be - Dookie Be;1.70;/images/products/magnet/M161Be.jpg
Magnet 161In - Dookie In;1.70;/images/products/magnet/M161In.jpg
Magnet 161L - Dookie L;1.70;/images/products/magnet/M161L.jpg
Magnet 161Lu - Dookie Lu;1.70;/images/products/magnet/M161Lu.jpg
Magnet 161Mo - Dookie Mo;1.70;/images/products/magnet/M161Mo.jpg
Magnet 161Rh - Dookie Rh;1.70;/images/products/magnet/M161Rh.jpg
Magnet 161Ze - Dookie Ze;1.70;/images/products/magnet/M161Ze.jpg
Magnet 161Zh - Dookie Zh;1.70;/images/products/magnet/M161Zh.jpg
Magnet 162 - Bear Zytglogge;1.70;/images/products/magnet/M162.jpg
Magnet 163 - Matterhorn train;1.70;/images/products/magnet/M163.jpg
Magnet 164 - Grand St-Bernard;1.70;/images/products/magnet/M164.jpg
Magnet 165 - Zürich cuckoo;1.70;/images/products/magnet/M165.jpg
Magnet 166 - St-Bernard;1.70;/images/products/magnet/M166.jpg
Magnet 167 - Lanterbrunnen;1.70;/images/products/magnet/M167.jpg
Magnet 168 - Metallic Postal bus;1.00;/images/products/magnet/M168.jpg
Magnet 169 - Metallic Zermatt;1.00;/images/products/magnet/M169.jpg
Magnet 170 - Metallic train;1.00;/images/products/magnet/M170.jpg
Magnet 171 - Andermatt train;1.70;/images/products/magnet/M171.jpg
Magnet 172 - Grossmunster Zürich MM;1.70;/images/products/magnet/M172.jpg
Magnet 173 - Metallic Zürich;1.00;/images/products/magnet/M173.jpg
Magnet 174 - Metallic Interlaken;1.00;/images/products/magnet/M174.jpg
Magnet 175 - Matterhorn cabin landscape MM;2.00;/images/products/magnet/M175.jpg
Magnet 176 - Andermatt ski;1.70;/images/products/magnet/M176.jpg
Magnet 178 - Lucerne Kapellbrücke MM;1.70;/images/products/magnet/M178.jpg
Magnet 179 - Nyon castle;1.70;/images/products/magnet/M179.jpg
Magnet 181 - fondue pot;1.70;/images/products/magnet/M181.jpg
Magnet 182 - Red cow head;1.70;/images/products/magnet/M182.jpg
Magnet 183 - Red cow;1.70;/images/products/magnet/M183.jpg
Magnet 184 - BW cow switzerland;1.70;/images/products/magnet/M184.jpg
Magnet 186 - Cuckoo;1.70;/images/products/magnet/M186.jpg
Magnet 186F - Raclette and wine MM;1.70;/images/products/magnet/M186F.jpg
Magnet 187 - Cuckoo;1.70;/images/products/magnet/M187.jpg
Magnet 188 - Cuckoo;1.70;/images/products/magnet/M188.jpg
Magnet 189 - Cuckoo;1.70;/images/products/magnet/M189.jpg
Magnet 190 - Magnet box;2.40;/images/products/magnet/M190.jpg
Magnet 191 - Magnet box;2.40;/images/products/magnet/M191.jpg
Magnet 192 - BASEL charm magnet;2.00;/images/products/magnet/M192.jpg
Magnet 193 - Animals hand spinner;2.60;/images/products/magnet/M193.jpg
Magnet 194 - Yellow plates hand spinner;2.60;/images/products/magnet/M194.jpg
Magnet 196 - Camera magnet GENEVA;1.70;/images/products/magnet/M196.jpg
Magnet 197 - Camera magnet Bern bear;1.70;/images/products/magnet/M197.jpg
Magnet 198 - Camera magnet Bern;1.70;/images/products/magnet/M198.jpg
Magnet 199 - Camera magnet Switzerland;1.70;/images/products/magnet/M199.jpg
Magnet 200 - Bicycles magnet GENEVA;1.70;/images/products/magnet/M200.jpg
Magnet 201 - Bicycles magnet Bern;1.70;/images/products/magnet/M201.jpg
Magnet 202 - Bicycles magnet Zürich;1.70;/images/products/magnet/M202.jpg
Magnet 203 - Bear magnet with bottle opener UV printing Green.White. Pink.Blue;2.00;/images/products/magnet/M203.jpg
Magnet 204 - Magnet Geneva broken chair;2.00;/images/products/magnet/M204.jpg
Magnet 252 - Genève water jet;1.70;/images/products/magnet/M252.jpg
Magnet 257 - Swiss mountains (magnet seins);1.70;/images/products/magnet/M257.jpg
Magnet 258 - Luzern Kapellbrücke;1.70;/images/products/magnet/M258.jpg
Magnet 261 - Metallic Montreux;1.00;/images/products/magnet/M161.jpg
Magnet 262 - Set Swiss DE;2.40;/images/products/magnet/M262.jpg
Magnet 263 - Set Swiss FR;2.40;/images/products/magnet/M263.jpg
Magnet 264 - Planchette aperitif;1.70;/images/products/magnet/M264.jpg
Magnet 265 - Metallic Genève;1.00;/images/products/magnet/M265.jpg
Magnet 266 - Metallic Bern;1.00;/images/products/magnet/M266.jpg
Magnet 267 - Fondue pot | 30x15 Metallic plate MM;1.70;/images/products/magnet/M267.jpg
Magnet 268 - Metallic Crans-Montana;1.00;/images/products/magnet/M268.jpg
Magnet 269 - Metallic Lausanne | 30x15 Metallic plate MM;1.00;/images/products/magnet/M269.jpg
Magnet 270 - Metallic 1291 | 30x15 Metallic plate MM;1.00;/images/products/magnet/M270.jpg
Magnet 271 - Kapellbrücke Pilatus;1.70;/images/products/magnet/M271.jpg
Magnet 272 - Swiss map rubber Red;1.00;/images/products/magnet/M272.jpg
Magnet 273 - Swiss map rubber White;1.00;/images/products/magnet/M273.jpg
Magnet 274 - Metallic red poya;1.20;/images/products/magnet/M274.jpg
Magnet 275 - Metallic Pedestrian VS 10x3cm;1.20;/images/products/magnet/M275.jpg
Magnet 276 - Metallic Pedestrian Lausanne 10x3cm;1.20;/images/products/magnet/M276.jpg
Magnet 277 - Metallic Pedestrian Luzern 10x3cm;1.20;/images/products/magnet/M277.jpg
Magnet 278 - Metallic Pedestrian Zermatt 10x3cm;1.20;/images/products/magnet/M278.jpg
Magnet 279 - Metallic Pedestrian Interlaken 10x3cm;1.20;/images/products/magnet/M279.jpg
Magnet 280 - Metallic Pedestrian Bern 10x3cm;1.20;/images/products/magnet/M280.jpg
Magnet 281 - Metallic Pedestrian GE 10x3cm;1.20;/images/products/magnet/M281.jpg
Magnet 282 - Metallic Pedestrian ZU 10x3cm;1.20;/images/products/magnet/M282.jpg
Magnet 284 - Metallic Pedestrian Rheinfall 10x3cm;1.20;/images/products/magnet/M284.jpg
Magnet 285 - Swiss map Interlaken;1.00;/images/products/magnet/M285.jpg
Magnet 286 - Swiss map Lausanne;1.00;/images/products/magnet/M286.jpg
Magnet 287 - Swiss map Luzern;1.00;/images/products/magnet/M287.jpg
Magnet 288 - Swiss map Rheinfall;1.00;/images/products/magnet/M288.jpg
Magnet 289 - Swiss map Zermatt (night);1.00;/images/products/magnet/M289.jpg
Magnet 290 - Swiss map Zermatt;1.00;/images/products/magnet/M290.jpg
Magnet 291 - Bear Bern Switzerland;1.70;/images/products/magnet/M291.jpg
Magnet 292 - Swiss map Zürich;1.00;/images/products/magnet/M292.jpg
Magnet 292 - Bicycles magnet Zürich;1.70;/images/products/magnet/M292V.jpg
Magnet 293 - Zytglogge;1.70;/images/products/magnet/M293.jpg
Magnet 294 - Swiss map Genève;1.00;/images/products/magnet/M294.jpg
Magnet 295 - Swiss map Bern;1.00;/images/products/magnet/M295.jpg
Magnet 296 - Cuckoo clock;1.70;/images/products/magnet/M296C.jpg
Magnet 296 - Swiss map Montreux;1.00;/images/products/magnet/M296.jpg
Magnet 297 - Swiss map Crans-Montana;1.00;/images/products/magnet/M297.jpg
Magnet 298 - Metallic Pedestrian Gruyères 10x3cm;1.20;/images/products/magnet/M298.jpg
Magnet 299 - Swiss map panorama;1.00;/images/products/magnet/M299.jpg
Magnet 300 - Switzerland red MM;1.70;/images/products/magnet/M300.jpg
Magnet 301 - bottle-opener Dookie MM;2.00;/images/products/magnet/M301.jpg
Magnet 302 - Metallic cycle track;1.20;/images/products/magnet/M302.jpg
Magnet 303 - Red cow over Switzerland text MM;1.70;/images/products/magnet/M303.jpg
Magnet 304 - Fondue cheese. cow. bell MM;2.00;/images/products/magnet/M304.jpg
Magnet 305 - Cow bell Switzerland MM;2.00;/images/products/magnet/M305.jpg
Magnet 306 - Jungfraujoch MM;2.00;/images/products/magnet/M306.jpg
Magnet 307 - Golden bell swiss flag;1.70;/images/products/magnet/M307G.jpg
Magnet 307 - Water jet magnet MM;2.00;/images/products/magnet/M307.jpg
Magnet 308 - flag. clock. water jet. chocolate MM;2.00;/images/products/magnet/M308.jpg
Magnet 315 - Bear MM;2.00;/images/products/magnet/M315.jpg
Magnet 316 - Zytglogge MM;2.00;/images/products/magnet/M316.jpg
Magnet 317 - Zytglogge MM;2.00;/images/products/magnet/M317.jpg
Magnet 318 - Zytglogge MM;1.70;/images/products/magnet/M318.jpg
Magnet 319 - Heart shaped Zytglogge;1.70;/images/products/magnet/M319.jpg
Magnet 320 - Bear head trophy 1;1.70;/images/products/magnet/M320.jpg
Magnet 321 - Interlaken;2.00;/images/products/magnet/M321.jpg
Magnet 322 - Montreux;2.00;/images/products/magnet/M322.jpg
Magnet 323 - Lausanne-Ouchy harbour;1.70;/images/products/magnet/M323.jpg
Magnet 324 - Cathedral Lausanne MM;2.00;/images/products/magnet/M324.jpg
Magnet 326 - Lausanne Ouchy harbour MM;1.30;/images/products/magnet/M326.jpg
Magnet 336 - Magnet Gruyères MM;2.00;/images/products/magnet/M336.jpg
Magnet 336E - Magnet Einstein Crystal;1.00;/images/products/magnet/M336E.jpg
Magnet 337 - Hearth shaped Gruyères;1.70;/images/products/magnet/M337.jpg
Magnet 338 - Gruyères city double sided MM;1.30;/images/products/magnet/M338.jpg
Magnet 339 - Crans-Montana double sided MM;1.30;/images/products/magnet/M339.jpg
Magnet 340 - Heart Bern;1.00;/images/products/magnet/M340.jpg
Magnet 341 - Heart Zermatt;1.00;/images/products/magnet/M341.jpg
Magnet 342 - Heart Zürich;1.00;/images/products/magnet/M342.jpg
Magnet 343 - Heart Crans-Montana;1.00;/images/products/magnet/M343.jpg
Magnet 344 - Heart Genève;1.00;/images/products/magnet/M344.jpg
Magnet 345 - Heart Interlaken;1.00;/images/products/magnet/M345.jpg
Magnet 346 - Heart Lausanne;1.00;/images/products/magnet/M346.jpg
Magnet 347 - Heart Luzern;1.00;/images/products/magnet/M347.jpg
Magnet 348 - Heart Montreux;1.00;/images/products/magnet/M348.jpg
Magnet 349 - Heart Rheinfall;1.00;/images/products/magnet/M349.jpg
Magnet 350 - Heart Switzerland;1.00;/images/products/magnet/M350.jpg
Magnet 352 - Bear figurine FIG;3.00;/images/products/magnet/M352.jpg
Magnet 353 - Heart Freddie;1.00;/images/products/magnet/M353.jpg
